X,Y,Z
54,154,-202
52,150,-198
50,156,-194
56,144,-198
70,136,-216
50,142,-212
52,152,-206
48,150,-198
50,156,-192
52,162,-198
42,154,-218
52,144,-208
56,154,-180
56,148,-186
52,154,-192
44,168,-192
36,168,-188
50,158,-200
56,152,-194
56,148,-198
54,146,-196
48,162,-182
32,164,-186
52,160,-190
56,148,-180
50,146,-188
48,158,-198
38,160,-188
52,156,-190
56,152,-186
54,150,-184
50,150,-200
70,130,-216
52,148,-210
50,152,-200
50,156,-200
54,150,-198
50,162,-184
38,156,-222
54,148,-204
48,154,-198
54,144,-210
54,144,-188
46,168,-180
44,166,-178
50,164,-186
52,146,-182
56,150,-190
46,164,-188
42,140,-216
58,142,-212
50,152,-192
50,148,-202
46,158,-194
42,168,-176
46,164,-178
52,156,-184
56,152,-184
48,154,-194
60,148,-196
64,138,-188
58,142,-174
48,156,-190
48,152,-190
52,156,-198
48,166,-200
34,158,-218
52,154,-188
52,150,-186
50,152,-198
58,148,-194
64,138,-190
60,142,-194
52,150,-210
48,154,-202
54,156,-196
50,166,-174
46,160,-178
52,160,-186
52,154,-188
54,150,-188
50,146,-196
66,140,-208
60,140,-212
54,152,-206
48,150,-204
56,150,-192
44,168,-178
42,168,-178
52,154,-182
50,148,-186
56,148,-180
48,142,-198
52,134,-214
52,140,-208
48,152,-206
56,152,-208
54,152,-196
64,170,-172
42,168,-178
52,152,-194
52,152,-202
44,156,-206
54,144,-200
48,160,-176
46,164,-176
50,158,-184
54,150,-192
52,150,-192
60,142,-192
62,156,-166
58,154,-184
46,154,-182
54,152,-188
52,150,-194
52,152,-198
66,132,-200
60,140,-208
50,152,-192
54,152,-200
56,154,-190
44,164,-180
46,166,-170
54,156,-188
56,146,-186
56,150,-184
52,144,-200
52,134,-218
54,144,-210
48,156,-210
54,148,-204
52,160,-192
42,164,-182
36,168,-184
56,156,-188
54,152,-194
52,154,-202
60,148,-196
62,174,-172
56,148,-180
50,150,-178
56,148,-186
52,152,-190
46,162,-202
44,144,-224
48,156,-216
50,152,-206
50,148,-204
50,160,-192
62,158,-172
54,154,-170
52,154,-178
52,150,-186
52,148,-204
56,152,-192
62,152,-168
58,152,-178
52,152,-182
52,152,-186
54,154,-188
56,148,-194
64,128,-210
60,142,-204
48,154,-196
54,154,-180
54,152,-190
44,166,-194
34,168,-186
50,160,-188
48,150,-188
56,150,-186
56,144,-196
62,140,-172
60,138,-190
54,154,-202
52,150,-206
50,156,-192
46,170,-172
46,162,-180
52,156,-180
52,150,-188
52,152,-180
52,148,-192
68,134,-208
62,138,-208
46,150,-204
48,152,-204
48,156,-192
44,168,-180
46,164,-180
54,162,-184
54,152,-192
46,150,-186
48,142,-198
66,134,-216
54,146,-206
50,148,-212
54,152,-192
52,156,-192
46,162,-196
38,144,-220
52,158,-204
54,152,-204
52,150,-190
56,154,-192
48,148,-196
66,130,-214
56,142,-210
52,150,-206
52,150,-198
52,152,-194
42,164,-176
40,160,-176
56,158,-188
50,152,-186
54,152,-178
52,146,-198
66,132,-220
54,140,-206
50,152,-210
48,154,-188
50,150,-192
42,160,-198
30,154,-218
48,154,-208
54,150,-200
56,152,-202
56,152,-198
62,140,-168
70,144,-178
48,152,-186
46,158,-180
52,152,-184
50,142,-200
74,134,-218
52,144,-208
50,152,-204
48,150,-208
56,146,-192
50,166,-172
42,172,-180
50,152,-180
54,148,-184
56,152,-192
48,160,-200
38,158,-222
54,154,-210
50,150,-206
56,150,-204
50,150,-192
56,174,-176
58,154,-172
50,154,-176
48,146,-188
50,152,-184
48,146,-200
74,132,-218
64,140,-174
48,152,-184
52,150,-178
50,148,-188
56,144,-196
66,136,-216
60,138,-208
52,146,-206
50,148,-194
52,154,-192
44,164,-180
38,160,-184
56,158,-184
52,148,-190
56,148,-202
56,150,-194
64,150,-172
56,142,-192
50,156,-208
48,154,-206
52,152,-200
60,158,-172
60,142,-190
46,158,-192
48,156,-176
50,150,-186
48,164,-198
34,164,-180
54,154,-200
52,152,-204
48,154,-210
46,146,-194
44,170,-174
50,164,-178
50,156,-182
54,152,-184
50,152,-192
42,168,-178
42,166,-184
52,160,-178
54,154,-186
48,154,-184
48,146,-194
52,134,-218
54,146,-206
48,152,-204
54,152,-182
54,152,-182
46,158,-204
44,146,-220
54,144,-208
48,154,-204
60,146,-206
