czas [s],X,Y,Z
0.0,51,43,-239
0.009999999999999787,50,41,-243
0.02000000000000135,50,43,-244
0.030000000000001137,49,41,-241
0.040000000000000924,51,42,-244
0.05000000000000071,48,44,-244
0.0600000000000005,50,41,-244
0.07000000000000028,50,44,-241
0.08000000000000007,50,41,-242
0.08999999999999986,50,41,-239
0.09999999999999964,51,41,-243
0.11000000000000121,50,43,-242
0.120000000000001,50,41,-241
0.13000000000000078,50,41,-244
0.14000000000000057,49,44,-242
0.15000000000000036,50,43,-242
0.16000000000000014,51,42,-241
0.16999999999999993,53,42,-242
0.17999999999999972,51,43,-240
0.19000000000000128,52,41,-243
0.20000000000000107,51,42,-242
0.21000000000000085,53,42,-242
0.22000000000000064,49,42,-240
0.23000000000000043,50,43,-240
0.2400000000000002,51,41,-242
0.25,50,44,-241
0.2599999999999998,50,41,-239
0.27000000000000135,52,41,-244
0.28000000000000114,48,42,-242
0.2900000000000009,52,42,-243
0.3000000000000007,52,42,-243
0.3100000000000005,51,42,-243
0.32000000000000206,48,43,-244
0.33000000000000007,51,43,-241
0.34000000000000163,49,44,-240
0.34999999999999964,51,43,-242
0.3600000000000012,50,43,-243
0.3699999999999992,53,40,-243
0.3800000000000008,52,42,-243
0.3899999999999988,51,40,-244
0.40000000000000036,50,43,-240
0.4100000000000019,52,41,-243
0.41999999999999993,51,43,-242
0.4300000000000015,52,42,-242
0.4399999999999995,51,43,-243
0.45000000000000107,49,42,-240
0.4599999999999991,49,42,-242
0.47000000000000064,52,42,-241
0.4800000000000022,50,42,-240
0.4900000000000002,48,43,-244
0.5000000000000018,51,41,-244
0.5099999999999998,49,42,-241
0.5200000000000014,49,41,-241
0.5299999999999994,51,41,-241
0.5400000000000009,51,41,-243
0.5499999999999989,51,42,-243
0.5600000000000005,52,42,-243
0.5700000000000021,48,42,-243
0.5800000000000001,51,39,-244
0.5900000000000016,50,43,-242
0.5999999999999996,51,44,-240
0.6100000000000012,51,42,-242
0.6199999999999992,51,43,-242
0.6300000000000008,48,43,-243
0.6399999999999988,51,42,-244
0.6500000000000004,51,42,-245
0.6600000000000019,51,42,-241
0.6699999999999999,50,43,-244
0.6800000000000015,50,42,-243
0.6899999999999995,49,40,-243
0.7000000000000011,53,41,-242
0.7099999999999991,51,42,-241
0.7200000000000006,49,43,-242
0.7300000000000022,50,42,-242
0.7400000000000002,50,43,-244
0.7500000000000018,50,42,-242
0.7599999999999998,51,42,-244
0.7700000000000014,53,41,-244
0.7799999999999994,52,41,-242
0.7900000000000009,50,42,-245
0.7999999999999989,53,41,-243
0.8100000000000005,49,41,-244
0.8200000000000021,49,43,-242
0.8300000000000001,51,45,-242
0.8400000000000016,49,42,-242
0.8499999999999996,51,40,-243
0.8600000000000012,51,39,-245
0.8699999999999992,49,43,-241
0.8800000000000008,50,43,-242
0.8899999999999988,49,46,-241
0.9000000000000004,53,40,-243
0.9100000000000019,49,43,-242
0.9199999999999999,52,40,-242
0.9300000000000015,50,41,-242
0.9399999999999995,49,43,-241
0.9500000000000011,48,42,-243
0.9599999999999991,51,41,-243
0.9700000000000006,50,42,-243
