czas [s],X,Y,Z
0.32875000000012733,-8,2,252
0.32937500000025466,4,-18,256
0.32999999999992724,-8,0,250
0.33062500000005457,-16,6,266
0.3312500000001819,-8,0,276
0.33187500000030923,-4,-8,256
0.3324999999999818,-8,-6,244
0.33312500000010914,-10,0,258
0.33375000000023647,-16,12,256
0.33437499999990905,0,0,258
0.3350000000000364,4,-14,258
0.3356250000001637,-8,0,262
0.33625000000029104,-12,6,266
0.3368749999999636,-8,0,248
0.33750000000009095,-8,-4,256
0.3381250000002183,0,0,256
0.3387500000003456,-4,-4,256
0.3393750000000182,-8,-8,244
0.3400000000001455,-8,2,260
0.34062500000027285,-26,18,268
0.34124999999994543,-6,0,260
0.34187500000007276,-24,0,232
0.3425000000002001,-4,0,258
0.3431250000003274,8,-16,270
0.34375,0,0,248
0.34437500000012733,-10,4,264
0.34500000000025466,-10,0,244
0.34562499999992724,-6,-10,244
0.34625000000005457,-4,0,250
0.3468750000001819,-6,0,252
0.34750000000030923,0,-12,252
0.3481249999999818,-10,2,260
0.34875000000010914,0,-14,272
0.34937500000023647,-8,-6,260
0.34999999999990905,-24,0,240
0.3506250000000364,-4,-4,252
0.3512500000001637,2,-20,284
0.35187500000029104,-6,0,254
0.3524999999999636,0,14,270
0.35312500000009095,-10,0,244
0.3537500000002183,-4,-8,248
0.3543750000003456,-8,0,268
0.3550000000000182,-4,0,254
0.3556250000001455,-8,-10,242
0.35625000000027285,-8,0,248
0.35687499999994543,-16,0,276
0.35750000000007276,-10,0,256
0.3581250000002001,-26,4,240
0.3587500000003274,-6,-4,258
0.359375,2,-14,282
0.36000000000012733,-8,0,248
0.36062500000025466,-12,2,246
0.36124999999992724,-12,-4,266
0.36187500000005457,-10,-8,254
0.3625000000001819,-10,2,244
0.36312500000030923,-6,-4,250
0.3637499999999818,0,-14,248
0.36437500000010914,-8,0,260
0.36500000000023647,-22,8,246
0.36562499999990905,-6,-4,254
0.3662500000000364,4,-14,272
0.3668750000001637,-6,0,252
0.36750000000029104,-12,8,248
0.3681249999999636,-8,0,256
0.36875000000009095,-6,0,258
0.3693750000002183,-12,-4,242
0.3700000000003456,-10,2,254
0.3706250000000182,-14,8,270
0.3712500000001455,-6,0,256
0.37187500000027285,2,-16,236
0.37249999999994543,0,-4,262
0.37312500000007276,2,12,278
0.3737500000002001,-6,-4,248
0.3743750000003274,-6,-12,252
0.375,-10,6,252
0.37562500000012733,-6,0,252
0.37625000000025466,-4,-14,270
0.37687499999992724,-4,0,254
0.37750000000005457,-18,-8,236
0.3781250000001819,-12,0,268
0.37875000000030923,6,14,270
0.3793749999999818,-10,0,242
0.38000000000010914,-6,-6,248
0.38062500000023647,-8,0,272
0.38124999999990905,-4,0,256
0.3818750000000364,2,-12,240
0.3825000000001637,-4,-6,256
0.38312500000029104,-12,0,268
0.3837499999999636,-10,0,254
0.38437500000009095,-24,-8,240
0.3850000000002183,-8,0,268
0.3856250000003456,6,0,276
0.3862500000000182,-4,0,240
0.3868750000001455,-14,12,264
0.38750000000027285,-8,0,266
0.38812499999994543,-6,-4,242
0.38875000000007276,-10,0,248
0.3893750000002001,0,4,256
0.3900000000003274,4,-8,262
0.390625,0,0,264
0.39125000000012733,-12,8,268
0.39187500000025466,-8,0,262
0.39249999999992724,-16,-12,240
0.39312500000005457,-6,-6,260
0.3937500000001819,4,12,276
0.39437500000030923,-10,0,254
0.3949999999999818,-14,10,268
0.39562500000010914,-8,-4,256
0.39625000000023647,0,-6,254
0.39687499999990905,-6,2,250
0.3975000000000364,-6,4,252
0.3981250000001637,0,-12,238
0.39875000000029104,-8,-4,260
0.3993749999999636,-22,2,248
0.40000000000009095,-8,0,256
0.4006250000002183,-18,0,230
0.4012500000003456,-8,-8,266
0.4018750000000182,6,12,272
0.4025000000001455,-10,0,240
0.40312500000027285,-8,-10,246
0.40374999999994543,-6,2,268
0.40437500000007276,-6,0,256
0.4050000000002001,-10,-6,246
0.4056250000003274,-8,0,266
0.40625,-10,12,264
0.40687500000012733,-8,0,252
0.40750000000025466,10,-18,256
0.40812499999992724,-6,0,264
0.40875000000005457,-12,10,266
0.4093750000001819,-10,0,248
0.41000000000030923,-8,-8,248
0.4106249999999818,0,0,250
0.41125000000010914,-8,0,254
0.41187500000023647,0,-14,252
0.41249999999990905,0,-6,256
0.4131250000000364,-22,16,242
0.4137500000001637,-4,0,260
0.41437500000029104,6,-20,232
0.4149999999999636,-8,0,262
0.41562500000009095,-8,12,264
0.4162500000002183,-8,0,240
0.4168750000003456,-10,0,252
0.4175000000000182,-4,6,262
0.4181250000001455,-4,0,252
0.41875000000027285,-6,-8,244
0.41937499999994543,-10,2,260
0.42000000000007276,-6,-4,274
0.4206250000002001,-8,-4,252
0.4212500000003274,-24,0,236
0.421875,-6,0,260
0.42250000000012733,6,10,276
0.42312500000025466,-8,0,242
0.42374999999992724,-10,0,254
0.42437500000005457,-12,0,270
0.4250000000001819,0,0,256
0.42562500000030923,-10,0,242
0.4262499999999818,-8,0,266
0.42687500000010914,0,-12,248
0.42750000000023647,0,0,258
0.42812499999990905,-22,10,268
0.4287500000000364,-8,0,260
0.4293750000001637,-16,-12,232
0.43000000000029104,-8,0,260
0.4306249999999636,6,-22,232
0.43125000000009095,-6,0,272
0.4318750000002183,0,2,272
0.4325000000003456,-10,0,252
0.4331250000000182,-18,14,266
0.4337500000001455,-8,0,258
0.43437500000027285,-10,6,244
0.43499999999994543,-6,4,264
0.43562500000007276,0,-4,252
0.4362500000002001,-10,4,246
0.4368750000003274,-10,0,256
0.4375,6,-10,256
0.43812500000012733,0,0,260
0.43875000000025466,-14,8,270
0.43937499999992724,-8,0,258
0.44000000000005457,-22,-4,248
0.4406250000001819,-10,0,254
0.44125000000030923,4,-20,278
0.4418749999999818,-8,-4,264
0.44250000000010914,0,6,278
0.44312500000023647,-10,-4,240
0.44374999999990905,-14,6,266
0.4443750000000364,-10,2,244
0.4450000000001637,-8,-4,246
0.44562500000029104,0,0,246
0.4462499999999636,-6,0,250
0.44687500000009095,-4,-14,242
0.4475000000002183,0,2,262
0.4481250000003456,-10,10,264
0.4487500000000182,-10,-4,258
0.4493750000001455,4,-18,236
0.45000000000027285,0,0,256
0.45062499999994543,4,8,270
0.45125000000007276,-10,0,248
0.4518750000002001,-6,-12,248
0.4525000000003274,-10,2,268
0.453125,-8,0,252
0.45375000000012733,0,-12,256
0.45437500000025466,-6,-6,262
0.45499999999992724,-26,-8,246
0.45562500000005457,-6,0,256
0.4562500000001819,2,-18,274
0.45687500000030923,-8,0,254
0.4574999999999818,-10,4,242
0.45812500000010914,-10,-8,266
0.45875000000023647,0,0,256
